## htsjdk.samtools.metrics.StringHeader
# CollectHsMetrics --BAIT_INTERVALS /ifs1/home/luohaosen/project/WES/result/YF22051201-07/YF22051201-07.Exon.Interval.bed --TARGET_INTERVALS /ifs1/home/luohaosen/project/WES/result/YF22051201-07/YF22051201-07.Exon.Interval.bed --INPUT /ifs1/home/luohaosen/project/WES/result/YF22051201-07/YF22051201-07.bam --OUTPUT /ifs1/home/luohaosen/project/WES/result/YF22051201-07/YF22051201-07.stat.txt --METRIC_ACCUMULATION_LEVEL ALL_READS --NEAR_DISTANCE 250 --MINIMUM_MAPPING_QUALITY 20 --MINIMUM_BASE_QUALITY 20 --CLIP_OVERLAPPING_READS true --INCLUDE_INDELS false --COVERAGE_CAP 200 --SAMPLE_SIZE 10000 --ALLELE_FRACTION 0.001 --ALLELE_FRACTION 0.005 --ALLELE_FRACTION 0.01 --ALLELE_FRACTION 0.02 --ALLELE_FRACTION 0.05 --ALLELE_FRACTION 0.1 --ALLELE_FRACTION 0.2 --ALLELE_FRACTION 0.3 --ALLELE_FRACTION 0.5 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Sep 13 11:40:37 CST 2022

## METRICS CLASS	picard.analysis.directed.HsMetrics
BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	PCT_TARGET_BASES_250X	PCT_TARGET_BASES_500X	PCT_TARGET_BASES_1000X	PCT_TARGET_BASES_2500X	PCT_TARGET_BASES_5000X	PCT_TARGET_BASES_10000X	PCT_TARGET_BASES_25000X	PCT_TARGET_BASES_50000X	PCT_TARGET_BASES_100000X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
YF22051201-07	35131620	1	446946450	103449389	331865629	0.623847	0.376153	0.812045	12.722056	0.488769	0.474958	46.277345		0	0	0	0	0	0	35131620	3209286105	17969523	17969523	914433038	17969523	17454928	882261468	882261468	434316894	1	1	0.971363	12.362564	0	891237	0	0.936598	0	0.000001	0.227538	0.020288	0	0.259896	?	0.015036	0.000403	0.000067	0.000056	0.000052	0.00005	0.000049	0.000049	0.000045	0.000045	0.000045	0.000044	0.000044	0.000044	0.00004	0.000039	0.000034	0	0	0.0065	0			

## HISTOGRAM	java.lang.Integer
coverage_or_base_quality	high_quality_coverage_count	unfiltered_baseq_count
0	34603374	0
1	514078	0
2	10571	0
3	307	274
4	127	780
5	195	841
6	206	1376
7	181	3051
8	141	2923
9	89	2411
10	73	1701
11	42	2811
12	35	1542
13	44	2212
14	41	2239
15	28	2464
16	28	2208
17	37	2014
18	30	2949
19	43	2907
20	34	2892
21	17	3060
22	7	19444
23	11	4046
24	11	4611
25	14	4012
26	6	4476
27	5	4337
28	7	7116
29	4	8105
30	2	7279
31	4	9279
32	6	13686
33	6	27426
34	11	293068
35	4	59592
36	11	11485
37	13	12005
38	7	19232
39	8	36899
40	9	321182
41	12	0
42	4	0
43	0	0
44	1	0
45	0	0
46	1	0
47	3	0
48	0	0
49	3	0
50	0	0
51	0	0
52	1	0
53	1	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	0	0
64	0	0
65	0	0
66	0	0
67	0	0
68	0	0
69	0	0
70	1	0
71	0	0
72	0	0
73	0	0
74	0	0
75	0	0
76	0	0
77	0	0
78	0	0
79	0	0
80	0	0
81	0	0
82	0	0
83	0	0
84	0	0
85	0	0
86	0	0
87	0	0
88	0	0
89	0	0
90	0	0
91	0	0
92	0	0
93	0	0
94	0	0
95	0	0
96	0	0
97	0	0
98	0	0
99	0	0
100	0	0
101	0	0
102	0	0
103	0	0
104	0	0
105	0	0
106	0	0
107	0	0
108	0	0
109	1	0
110	1	0
111	1	0
112	1	0
113	2	0
114	2	0
115	1	0
116	1	0
117	3	0
118	2	0
119	3	0
120	1	0
121	3	0
122	0	0
123	2	0
124	4	0
125	1	0
126	1	0
127	3	0
128	3	0
129	1	0
130	0	0
131	0	0
132	2	0
133	2	0
134	0	0
135	1	0
136	2	0
137	3	0
138	2	0
139	3	0
140	4	0
141	6	0
142	3	0
143	1	0
144	0	0
145	1	0
146	2	0
147	1	0
148	1	0
149	0	0
150	2	0
151	1	0
152	1	0
153	2	0
154	1	0
155	2	0
156	2	0
157	3	0
158	0	0
159	2	0
160	2	0
161	0	0
162	1	0
163	0	0
164	0	0
165	1	0
166	2	0
167	2	0
168	1	0
169	5	0
170	1	0
171	1	0
172	2	0
173	2	0
174	1	0
175	0	0
176	1	0
177	4	0
178	2	0
179	5	0
180	2	0
181	4	0
182	3	0
183	3	0
184	1	0
185	0	0
186	4	0
187	2	0
188	1	0
189	0	0
190	1	0
191	0	0
192	2	0
193	1	0
194	2	0
195	0	0
196	0	0
197	0	0
198	3	0
199	2	0
200	1575	0

