GeneName	SAMN15636466	SAMN15636467	SAMN15636468	SAMN15636469	SAMN15636470	SAMN15636471
44G24.1	0	0	3	0	1	4
A1CF	0	3	4	3	9	4
A2M	8	20	15	25	16	21
A2ML1	81	129	95	132	176	81
A2ML2	8	10	11	5	14	13
A2ML3	24	43	46	48	30	167
A2ML4	242	370	145	400	334	468
A4GALT	139	266	181	347	399	115
A4GNT	12	7	8	9	7	8
AAAS	2312	1957	1609	2286	1480	2648
AACS	894	773	824	706	1040	824
AADAC	392	480	197	464	469	690
AADACL3A	7	1	1	2	1	3
AADACL3B	0	0	0	0	0	0
AADACL3C	5	4	15	13	10	10
AADACL4A	0	0	0	0	1	2
AADACL4B	0	0	0	0	0	0
AADACL4P	0	0	0	0	0	0
AADAT	347	286	262	215	326	252
AAED1	129	183	116	130	184	130
AAGAB	1203	1346	1310	1315	1235	1603
AAK1	3571	5424	3524	4496	3632	6843
AAMDC	300	344	275	295	320	437
AAMP	2290	2293	1863	2279	1818	3101
AANAT	2	6	2	2	7	12
AAR2	1175	1147	958	1152	1089	1211
AARS1	2873	2769	2493	3316	2741	3596
AARS2	1025	1280	916	1220	1009	1628
AARSD1	809	788	658	756	792	768
AASDH	236	430	367	342	493	466
AASDHPPT	170	268	141	162	186	267
AASS	1096	1439	1534	1402	1646	1967
AATF	1053	645	614	727	666	1062
AATK	415	910	725	806	1619	792
ABAT	110	157	115	156	194	287
ABCA1	1031	2988	4377	5305	4086	3545
ABCA12	45	42	18	31	37	73
ABCA13	220	360	179	162	347	346
ABCA2	1329	2324	2115	3009	2259	3016
ABCA3	3732	5158	4631	7319	5439	7345
ABCA4	173	124	106	152	126	192
ABCA5	1513	2482	2510	2372	2654	4040
ABCA7	162	198	184	276	328	247
ABCA8	75	111	134	153	479	170
ABCA9	315	222	444	1126	631	433
ABCB1	370	300	302	471	623	502
ABCB10	330	279	280	333	335	267
ABCB11	22	35	46	27	33	60
ABCB1LA	74	85	67	51	141	144
ABCB5	341	569	257	314	504	701
ABCB6	526	424	334	540	360	684
ABCB7	489	708	716	745	821	826
ABCB8	1561	1278	1108	1469	1118	1426
ABCB9	403	552	402	386	473	789
ABCC1	2057	2299	2569	2209	2890	2368
ABCC10	418	563	436	596	570	518
ABCC13	220	259	357	333	399	323
ABCC2	9	15	17	17	42	11
ABCC3	484	717	800	1084	955	757
ABCC4	895	983	936	1614	1019	1153
ABCC5	1405	1935	1875	2052	1972	2107
ABCC6	93	137	229	179	219	176
ABCC8	28	66	65	89	54	153
ABCC9	1122	1123	2036	1608	2257	1360
ABCD2	450	617	623	992	720	795
ABCD3	920	1339	1079	958	1264	1376
ABCD4	618	709	564	751	533	1068
ABCE1	2234	1999	1983	1808	1935	2032
ABCF2	2979	3002	2278	2720	2103	4587
ABCF3	2733	2453	2127	2750	2180	2827
ABCG1	251	357	363	923	591	492
ABCG2	966	920	705	1080	908	1278
ABCG4	205	284	211	318	281	425
ABCG5	0	3	8	2	1	0
ABCG8	0	0	2	0	0	0
ABHD1	744	610	503	749	569	926
ABHD10	371	362	424	463	471	381
